Customer_ID,Booking_Frequency,Avg_Spending,Preferred_Service,Review_Text,Last_Activity,Days_Since_Last_Booking,Total_Spend
1697,1,137.77,Massage,"Amazing service, felt so relaxed afterwards. 10/10!",2024-03-09,6,129.31
1668,2,93.36,Couples Massage,The booking process was seamless and the service was top-notch.,2024-02-26,18,221.91
1064,11,221.38,Couples Massage,Incredible value for the quality of service provided.,2024-03-10,5,2336.32
1534,6,301.98,Wellness Package,Not bad. The therapist was competent but not exceptional.,2023-10-13,154,1534.35
1067,18,361.47,Couples Massage,This has become my monthly self-care ritual. Can't live without it!,2024-03-14,1,6397.81
1622,1,168.78,Couples Massage,The couples massage was the perfect anniversary gift.,2024-03-12,3,189.01
1347,4,73.11,Manicure,Best massage I've ever had. Will definitely rebook.,2024-02-21,23,345.12
1491,14,313.84,Facial,I've tried many services but this was by far the best.,2023-04-06,344,4629.9
1761,2,64.24,Massage,Decent quality. Probably would try again.,2023-04-27,323,147.3
1457,10,269.73,Massage,The booking process was seamless and the service was top-notch.,2023-07-31,228,3049.8
1066,15,397.31,Wellness Package,Therapist arrived on time and was extremely professional.,2024-03-13,2,4830.92
1287,3,94.27,Manicure,My go-to for wellness. Never been disappointed once.,2024-01-03,72,334.58
1636,2,104.53,Manicure,My skin reacted badly to the products used. No follow-up from support.,2024-03-14,1,238.58
1068,12,333.62,Couples Massage,Reasonable service for the price. Would consider rebooking.,2024-03-14,1,4741.98
1328,2,101.78,Facial,The booking was easy but the service felt a bit rushed.,2024-02-09,35,224.33
1396,3,100.16,Manicure,Too expensive for what you get. Disappointing.,2024-02-09,35,248.03
1245,2,129.97,Manicure,The booking process was seamless and the service was top-notch.,2023-12-27,79,288.37
1378,3,72.53,Manicure,My go-to for wellness. Never been disappointed once.,2023-12-31,75,203.39
1611,1,152.31,Facial,The booking process was seamless and the service was top-notch.,2024-03-03,12,132.09
1527,11,188.57,Massage,Not bad. The therapist was competent but not exceptional.,2023-04-13,337,2481.13
1659,1,76.48,Wellness Package,Good experience overall. Average pricing.,2024-03-14,1,82.59
1530,5,197.59,Massage,Poor communication and the quality was below average.,2023-03-26,355,994.59
1623,1,107.11,Couples Massage,The therapist was nice enough. Service was adequate.,2024-03-02,13,123.81
1722,1,74.46,Massage,Incredible value for the quality of service provided.,2022-11-05,496,69.78
1361,3,63.27,Facial,The service was rushed and I felt like just another number.,2024-02-06,38,160.56
1031,18,198.12,Couples Massage,Wonderful experience from start to finish. Highly recommend!,2024-02-17,27,3167.09
1261,4,98.03,Facial,I was not impressed. Expected much more for the price.,2024-02-26,18,418.41
1638,1,67.03,Facial,Five stars all around. The experience was flawless.,2024-03-07,8,61.16
1747,2,40.32,Facial,Okay experience. Not the best I've had but not the worst.,2022-11-16,485,77.46
1571,2,102.4,Wellness Package,Five stars all around. The experience was flawless.,2024-03-07,8,243.14
1216,4,136.17,Facial,Fair service. The app worked well for booking.,2024-01-29,46,603.59
1079,16,183.23,Couples Massage,Such a convenient and luxurious experience. Love it!,2024-03-04,11,2482.63
1579,2,152.96,Wellness Package,"It was okay, nothing special but decent service.",2024-03-12,3,297.74
1384,3,78.49,Facial,Not bad. The therapist was competent but not exceptional.,2024-01-21,54,188.74
1040,11,309.79,Couples Massage,Wonderful experience from start to finish. Highly recommend!,2024-03-14,1,3399.37
1024,14,185.65,Wellness Package,Best massage I've ever had. Will definitely rebook.,2024-02-17,27,2513.24
1693,1,84.22,Massage,Five stars all around. The experience was flawless.,2024-02-27,17,74.85
1399,3,117.46,Manicure,Decent quality. Probably would try again.,2024-02-08,36,367.47
1797,2,98.39,Facial,Booking process was confusing and the service was mediocre.,2023-05-30,290,210.87
1742,2,75.83,Massage,The therapist was late and seemed unprepared.,2022-12-13,458,140.62
1140,18,344.48,Wellness Package,Absolutely loved it! The therapist was amazing.,2024-02-22,22,6997.44
1251,3,50.79,Manicure,Reasonable service for the price. Would consider rebooking.,2024-01-02,73,141.17
1175,2,108.62,Facial,Not worth the price. I've had better at half the cost.,2024-01-06,69,231.46
1324,3,94.33,Manicure,Booking process was confusing and the service was mediocre.,2024-01-29,46,311.07
1596,1,144.4,Massage,This has become my monthly self-care ritual. Can't live without it!,2024-03-05,10,138.08
1526,11,333.72,Facial,Therapist cancelled last minute. Very frustrating.,2023-07-29,230,4089.2
1424,9,239.01,Facial,I was not impressed. Expected much more for the price.,2023-06-24,265,1908.35
1597,1,177.34,Wellness Package,Such a convenient and luxurious experience. Love it!,2024-03-04,11,182.93
1605,2,160.61,Wellness Package,Absolutely loved it! The therapist was amazing.,2024-03-02,13,276.72
1535,9,345.56,Wellness Package,Would not recommend. The whole experience felt unprofessional.,2023-04-13,337,3219.0
1266,3,94.01,Facial,The booking process was seamless and the service was top-notch.,2024-02-04,40,237.91
1110,17,231.07,Massage,My go-to for wellness. Never been disappointed once.,2024-02-23,21,3408.0
1667,1,54.01,Facial,"Amazing service, felt so relaxed afterwards. 10/10!",2024-03-13,2,43.91
1295,2,39.65,Manicure,My go-to for wellness. Never been disappointed once.,2024-01-23,52,89.37
1337,3,121.2,Facial,Therapist arrived on time and was extremely professional.,2024-02-10,34,338.43
1369,4,110.94,Manicure,The booking was easy but the service felt a bit rushed.,2024-02-24,20,421.03
1447,11,229.71,Massage,Exceeded my expectations. The therapist really listened to my needs.,2023-10-03,164,2374.01
1334,2,115.42,Massage,Incredible value for the quality of service provided.,2024-02-27,17,276.25
1199,3,139.14,Massage,The therapist was late and seemed unprepared.,2023-12-30,76,500.29
1169,3,129.59,Manicure,My therapist was incredibly professional and skilled.,2023-12-22,84,453.2
1482,8,274.41,Wellness Package,I was not impressed. Expected much more for the price.,2023-04-13,337,1874.13
1724,2,30.0,Facial,Best massage I've ever had. Will definitely rebook.,2023-02-24,385,50.84
1656,2,144.38,Massage,The couples massage was the perfect anniversary gift.,2024-03-11,4,298.16
1307,3,59.32,Manicure,Good experience overall. Average pricing.,2024-02-23,21,179.78
1232,2,111.42,Massage,The therapist was late and seemed unprepared.,2024-01-29,46,204.91
1423,6,258.06,Wellness Package,My go-to for wellness. Never been disappointed once.,2023-08-13,215,1607.81
1050,15,345.1,Massage,The booking process was seamless and the service was top-notch.,2024-03-04,11,5609.07
1788,1,35.02,Facial,It was a satisfactory experience. Nothing memorable.,2023-08-11,217,29.3
1358,3,80.63,Massage,Overpriced and underwhelming. Won't be coming back.,2024-02-16,28,264.22
1087,12,394.17,Wellness Package,Exceeded my expectations. The therapist really listened to my needs.,2024-03-10,5,4262.69
1546,10,329.61,Massage,This has become my monthly self-care ritual. Can't live without it!,2023-06-18,271,3770.51
1193,3,119.71,Massage,The experience did not match the website description at all.,2024-01-13,62,289.87
1796,1,64.47,Massage,The service was fine. Met my basic expectations.,2023-02-21,388,52.1
1034,17,201.2,Massage,The therapist was late and seemed unprepared.,2024-02-16,28,2975.69
1032,10,229.61,Massage,Exceeded my expectations. The therapist really listened to my needs.,2024-03-08,7,1997.03
1200,4,57.15,Manicure,Not worth the price. I've had better at half the cost.,2023-12-19,87,264.71
1366,4,88.16,Manicure,My therapist was incredibly professional and skilled.,2024-01-29,46,318.59
1487,9,209.76,Facial,The experience did not match the website description at all.,2023-07-16,243,1520.99
1595,1,171.75,Wellness Package,Perfect way to unwind after a long week. Thank you Blys!,2024-02-29,15,172.55
1569,1,159.72,Manicure,Wonderful experience from start to finish. Highly recommend!,2024-03-06,9,161.74
1429,9,210.89,Facial,Would not recommend. The whole experience felt unprofessional.,2023-11-05,131,2146.13
1138,11,352.52,Massage,Therapist arrived on time and was extremely professional.,2024-02-17,27,4325.36
1073,16,316.29,Massage,Such a convenient and luxurious experience. Love it!,2024-03-11,4,4801.57
1078,19,241.09,Couples Massage,Good experience overall. Average pricing.,2024-02-17,27,4054.35
1513,9,259.52,Wellness Package,Too expensive for what you get. Disappointing.,2023-10-27,140,2213.55
1784,1,82.02,Facial,My therapist was incredibly professional and skilled.,2023-06-22,267,89.97
1787,2,82.82,Massage,Therapist cancelled last minute. Very frustrating.,2023-08-24,204,153.65
1276,3,81.01,Massage,Exceeded my expectations. The therapist really listened to my needs.,2024-01-19,56,281.92
1362,3,116.7,Massage,Good experience overall. Average pricing.,2024-01-22,53,379.21
1097,10,188.6,Massage,The booking process was seamless and the service was top-notch.,2024-03-10,5,2260.66
1642,1,177.45,Massage,This has become my monthly self-care ritual. Can't live without it!,2024-03-07,8,208.2
1716,1,183.56,Massage,Wonderful experience from start to finish. Highly recommend!,2024-03-10,5,189.2
1282,3,81.87,Facial,Decent quality. Probably would try again.,2024-01-19,56,285.45
